fitness,lr0,momentum,weight_decay,degrees,translate,scale,fliplr,hsv_h,hsv_s,hsv_v
0.40293,0.01,0.937,0.0005,0.0,0.1,0.5,0.5,0.015,0.7,0.4
0.42094,0.01009,0.92683,0.0005,0.0,0.103,0.5393,0.5,0.0148,0.71403,0.4176
0.46243,0.00963,0.92683,0.00053,0.0,0.09888,0.52215,0.46628,0.01404,0.77068,0.42071
0.35617,0.00953,0.89522,0.00058,0.0,0.09888,0.51146,0.52114,0.01317,0.67061,0.42071
0.4087,0.01009,0.92683,0.00049,0.0,0.103,0.54443,0.49928,0.01482,0.70216,0.41953
0.482,0.00992,0.94471,0.0005,0.0,0.09982,0.49923,0.50695,0.015,0.7,0.4
0.26781,0.00963,0.91014,0.00045,0.0,0.09888,0.47503,0.46628,0.01404,0.77068,0.37568
0.43211,0.00999,0.97675,0.00059,0.0,0.09888,0.43283,0.46628,0.01404,0.81828,0.43435
0.44804,0.00953,0.95787,0.0005,0.0,0.09898,0.48395,0.47777,0.01204,0.80419,0.43105
0.48229,0.00982,0.92683,0.00055,0.0,0.09919,0.54564,0.47462,0.01391,0.79505,0.40532
0.40263,0.00952,0.93283,0.00052,0.0,0.10312,0.51535,0.49019,0.01341,0.80264,0.42071
0.36872,0.01206,0.94471,0.0005,0.0,0.10353,0.55241,0.50695,0.015,0.7,0.36456
0.26343,0.00973,0.92683,0.00055,0.0,0.10101,0.46385,0.47821,0.01391,0.8101,0.42591
0.49832,0.00918,0.98,0.00053,0.0,0.11305,0.404,0.3248,0.01204,0.83227,0.51953
0.40353,0.00856,0.98,0.00061,0.0,0.11305,0.404,0.3248,0.01194,0.95411,0.58321
0.54753,0.00913,0.98,0.00053,0.0,0.11412,0.404,0.3248,0.01181,0.84448,0.51606
0.51311,0.01123,0.98,0.00039,0.0,0.12705,0.47327,0.3248,0.01034,0.99315,0.6227
0.25325,0.01241,0.96667,0.00038,0.0,0.12705,0.48253,0.3248,0.00946,1.0,0.57424
0.45872,0.00913,0.98,0.0006,0.0,0.11412,0.39291,0.33703,0.01158,0.84408,0.58925
0.4637,0.00838,0.9533,0.00053,0.0,0.10965,0.40766,0.34685,0.01172,0.86164,0.51606
0.52783,0.01029,0.98,0.00045,0.0,0.1228,0.48588,0.33741,0.01104,0.98566,0.67908
0.44165,0.01029,0.86734,0.00048,0.0,0.1228,0.46394,0.26839,0.01052,1.0,0.76433
0.25004,0.01125,0.81183,0.00038,0.0,0.12473,0.48588,0.36754,0.01224,1.0,0.67908
0.35768,0.01069,0.94559,0.00043,0.0,0.124,0.47327,0.32953,0.01034,0.94747,0.5824
0.30368,0.0129,0.98,0.00045,0.0,0.13488,0.48576,0.32728,0.01117,0.97902,0.51812
0.36669,0.01009,0.98,0.00056,0.0,0.11412,0.32538,0.39067,0.01066,0.76042,0.44463
0.32211,0.00947,0.98,0.00053,0.0,0.10811,0.45153,0.35588,0.01213,0.94808,0.44691
0.28456,0.01415,0.98,0.00048,0.0,0.14485,0.57212,0.32415,0.00947,0.99315,0.68767
0.231,0.01108,0.98,0.00038,0.0,0.12858,0.49821,0.3127,0.01034,0.99573,0.61637
0.31976,0.00983,0.98,0.00057,0.0,0.12686,0.404,0.29935,0.01204,0.90683,0.49313
0.33517,0.00906,0.98,0.00053,0.0,0.11328,0.404,0.31739,0.01167,0.84448,0.51606
0.48554,0.01183,0.81943,0.00059,0.0,0.10503,0.53526,0.27697,0.01104,1.0,0.64495
0.51103,0.00723,0.98,0.00039,0.0,0.17171,0.56276,0.3248,0.00917,0.99315,0.48025
0.40007,0.01123,0.98,0.00039,0.0,0.126,0.47327,0.32547,0.01034,0.98725,0.6227
0.55442,0.00723,0.98,0.00039,0.0,0.1719,0.60235,0.34318,0.01014,0.99315,0.47344
0.50985,0.00921,0.98,0.00052,0.0,0.11004,0.40153,0.3248,0.01145,0.81964,0.53557
0.53646,0.00731,0.98,0.00039,0.0,0.1719,0.60523,0.33898,0.0104,1.0,0.47358
0.54653,0.00729,0.98,0.00039,0.0,0.17277,0.60523,0.33815,0.01036,1.0,0.47341
0.48873,0.00776,0.92987,0.00044,0.0,0.17277,0.5806,0.35627,0.01121,0.98865,0.46319
0.50627,0.00708,0.98,0.00038,0.0,0.17485,0.61375,0.347,0.01014,1.0,0.46316
0.50607,0.00723,0.96166,0.00039,0.0,0.17246,0.59822,0.34318,0.01012,0.98896,0.47449
0.62706,0.00733,0.96506,0.00039,0.0,0.16697,0.60842,0.33557,0.01012,0.97207,0.44618
0.51273,0.00705,0.98,0.00041,0.0,0.17693,0.65444,0.33557,0.01012,0.97207,0.44618
0.49972,0.0073,0.96145,0.00038,0.0,0.16759,0.6064,0.3324,0.01012,0.97516,0.44851
0.47748,0.00742,0.94,0.00038,0.0,0.17411,0.58538,0.32146,0.01036,0.94279,0.44322
0.39689,0.00914,0.97914,0.00053,0.0,0.11412,0.40474,0.32461,0.01181,0.84334,0.51606
0.43539,0.00708,0.96506,0.00038,0.0,0.15892,0.60725,0.31221,0.00827,0.83393,0.49092
0.477,0.00814,0.96506,0.00039,0.0,0.18013,0.50922,0.33557,0.01027,0.97207,0.30438
0.43853,0.00978,0.98,0.00046,0.0,0.10646,0.40722,0.3248,0.01181,0.94103,0.48252
0.41014,0.00735,0.96539,0.00039,0.0,0.16599,0.60686,0.33051,0.01015,0.97045,0.44771
0.4795,0.00748,0.98,0.00046,0.0,0.16973,0.64413,0.22098,0.01012,1.0,0.39057
0.44962,0.0074,0.98,0.00039,0.0,0.1724,0.48574,0.30891,0.01009,0.92046,0.49828
0.48312,0.00816,0.96506,0.00042,0.0,0.19733,0.62121,0.31964,0.01116,1.0,0.44618
0.09603,0.00894,0.98,0.00041,0.0,0.16222,0.60235,0.45642,0.00912,0.91612,0.47344
0.4296,0.00788,0.98,0.00038,0.0,0.1563,0.58825,0.33714,0.01012,1.0,0.46582
0.46641,0.00733,0.98,0.00038,0.0,0.17277,0.72519,0.27834,0.01157,1.0,0.47835
0.58711,0.00669,0.90025,0.00039,0.0,0.20139,0.58415,0.2831,0.01154,0.94798,0.47266
